country,Region,Surface area (km2),Population in thousands (2017),"Population density (per km2, 2017)","Sex ratio (m per 100 f, 2017)",GDP: Gross domestic product (million current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),"Fertility rate, total (live births per woman)",Infant mortality rate (per 1000 live births),Health: Total expenditure (% of GDP),Education: Government expenditure (% of GDP),Mobile-cellular subscriptions (per 100 inhabitants),Individuals using the Internet (per 100 inhabitants),Threatened species (number),CO2 emission estimates (million tons/tons per capita),"Energy production, primary (Petajoules)"
Niue,Polynesia,260,2,6.2,100,-99,-99,-99,-99,-99,-99,-99,2.6,8.1,7.4,-99,...,52,70,0,62
Northern Mariana Islands,Micronesia,457,55,119.9,107.1,-99,-99,-99,-99,1735,4553,-2818,1.6,6.4,-99,-99,...,102,64.5,-99,-99
Norway,NorthernEurope,386194,5305,14.5,101.8,386578,1.8,34.6,63.5,89120,72473,16647,1.8,2.4,9.7,7.4,113.6,64,33.2,8204,233
Oman,WesternAsia,309500,4636,15,192.8,69832,1.5,51.1,47.3,24455,23260,1195,2.9,9.6,3.6,5,159.9,99,~0.0,3101,239
Pakistan,SouthernAsia,796095,197016,255.6,105.6,266458,25.5,19,55.5,20534,46998,-26464,3.7,69.8,2.6,2.6,66.9,140,2,2202,17
Palau,Micronesia,459,22,47.2,113.3,258,3.8,8,88.2,7,154,-147,2.2,13.3,9,...,111.5,182,87.6,-99,172
Panama,CentralAmerica,75320,4099,55.1,100.4,52132,2.8,27.1,70,636,11697,-11061,2.6,15.2,8,3.2,174.2,383,62.3,31,35
Papua New Guinea,Melanesia,462840,8251,18.2,103.5,21315,20.1,28.2,51.8,8760,8874,-114,3.8,49,4.3,-99,46.6,493,74.1,114,22
Paraguay,SouthAmerica,406752,6811,17.1,102.9,27714,19,29.5,51.6,8494,9753,-1259,2.6,28.8,9.8,5,105.4,59,39.4,325,38
Peru,SouthAmerica,1285216,32166,25.1,99.8,190428,7.6,33.3,59.2,36040,36185,-145,2.5,18.6,5.5,4,109.9,685,57.9,1020,30
Philippines,South-easternAsia,300000,104918,351.9,101.3,292449,10.5,31.3,58.2,56313,85909,-29596,3,22.2,4.7,...,118.1,783,26.2,991,19
Poland,EasternEurope,312679,38171,124.6,93.4,477066,2.6,34.1,63.3,196455,188518,7937,1.3,4.5,6.4,4.9,148.7,58,30.7,2819,102
